PO Number;PO Date;Vendor;Vendor Description;Requester;PO Created By;Shopping Cart Number;Project;Project Description;WBS Element;WBS Element Description;Cost Center;Cost Center Description;PO Net Amount;Tax Amount;Total Amount Legal Entity Currency;PO Line Nr.;PO Status;PO Line Text;Delivery Date;Legal Entity Currency Code;Value in document currency;Document currency code;Investment Profile;Account Group (Cora Level 1);Account Sub Group (Cora Level 2);Account (Cora Level 3);Change Date;Purchase requisition;Procurement Plant;Contract #;Joint Commodity Code;PO Title;Version;FI Doc No
P001436611;2025-08-14;10113277;ICS INTERNATIONAL GMBH IDENTCODE;LURGM;LURGM;;C.32.04608.001.0;;C.32.04608.001.037.101;ELSDM - FÖRDERTECHNIK;3253510042;HUB OPERATIONS EMEA;55.00;0.00;55.00;4;open;PWR-BGA12V108W0WW;2025-08-25;EUR;55.00;EUR;capex;3;3.7;3.7.10-C;2025-08-15;R101277323;4510;;X40050105;PO1 FOR HANDSCANNER MC94 ELSDM BLEIZIFFER;;6164P001436611000004C3204608001037101
9110178397;2021-03-03;10119532;CTS GMBH;SCHWINGD;EICHNERJ;1003670512;C.32.02782.252.0;;C.32.02782.252.044.131;AUTOMATISATIONSINSTALLATION;3253100510;DOZCA MGP;11585.44;0.00;11585.44;1;closed;EMGP2P AFB ERSTELLUNG;2021-10-29;EUR;11585.44;EUR;capex;4;4.4;4.4.13-C;2021-03-03;;4511;;X20150401;EMGP2P ÜBERGEORDNETE AUTOMATION + EMSR;;61649110178397000001C3202782252044131
9110170494;2020-11-17;10230122;PM GROUP;HILLMANB;EICHNERJ;;C.32.02818.400.1;;C.32.02818.400.162.101;GENERAL PLANNER;3253510372;DOZC GEN. MFG COST;120000.00;0.00;120000.00;6;closed;5. NT FCPP GENERALPLANUNG CD;2021-06-30;EUR;120000.00;EUR;capex;6;6.2;6.2.10-C;2024-07-24;;4511;;X20250301;FCPP GENERALPLANUNG;;61649110170494000006C3202818400162101
P000916419;2024-09-12;10117953;ORTNER ANLAGENTECHNIK GMBH HEIZUNG;HEILMAJ1;JUHASZN1;;C.32.03665.300.0;;C.32.03665.300.039.111;ERZEUGERANLAGEN ENTSORGUNG;3253100214;DOZ MANAGEMENT;1038211.46;0.00;1038211.46;1;open;BCMP_ERZEUGERANLAGEN ENTSORGUNG_ORTNER;2024-09-20;EUR;1038211.46;EUR;capex;3;3.9;3.9.11-C;2025-05-16;R100822067;4511;2024069074;X20100000;PO1 FOR ERZEUGERANLAGEN ENTSORGUNG_ORTNER;;6164P000916419000001C3203665300039111
6000605442;2019-07-19;10111263;MW BUEROPLANUNG GMBH;GERGM2;SPRUNGS;;C.32.01985.233.0;;C.32.01985.233.028.369;BÜROMÖBIERUNG (KST);3251601683;PROJEKTE CPS;9226.19;0.00;9226.19;20;open;CMCPSP BÜROMÖBLIERUNG GWG;2019-09-13;EUR;9226.19;EUR;capex;2;2.8;2.8.36-O;2019-10-31;3157779068;4511;;X25050201;;;61646000605442000020C3201985233028369
6000646031;2019-10-22;10112003;BILFINGER OKI ISOLIERTECHNIK GMBH;GERGM2;GEIGERC6;;C.32.01985.752.0;;C.32.01985.752.026.139;LEITUNGEN ARMATUREN;3251601683;PROJEKTE CPS;4470.74;0.00;4470.74;10;open;CMCPSP DE- UND NEUMONTAGE PROMATVERKLEID;2019-11-04;EUR;4470.74;EUR;capex;2;2.6;2.6.13-O;2020-08-12;;4511;6199100070;X20050300;;;61646000646031000010C3201985752026139
6000546812;2019-03-04;10111263;MW BUEROPLANUNG GMBH;GERGM2;RODEI;;C.32.01985.662.0;;C.32.01985.662.028.369;SCOPEÄNDERUNG R2.412 (TRIGA-S) KST;3251601683;PROJEKTE CPS;23401.68;0.00;23401.68;20;open;G662 BÜROMÖBEL;2019-07-17;EUR;23401.68;EUR;capex;2;2.8;2.8.36-O;2019-08-21;3132844732;4511;;X25050201;;;61646000546812000020C3201985662028369
6000671180;2019-12-16;10110407;WALDNER LABOREINRICHTUNGEN;GERGM2;EICHNERJ;;C.32.01985.752.0;;C.32.01985.752.029.101;STANDARDLABORANLAGEN;3251601683;PROJEKTE CPS;9408.00;0.00;9408.00;10;open;CMCPSP G752 LABORMÖBEL ANPASSEN;2019-12-31;EUR;9408.00;EUR;capex;2;2.9;2.9.10-C;2019-12-16;;4511;6199100141;X25050202;;;61646000671180000010C3201985752029101
P001610137;2025-12-01;10110609;CARL STAHL SUED GMBH;MAGINS;SVANET;;C.32.04447.352.0;;C.32.04447.352.032.401;DSP EINZELNE CRYOSTATION CRYOBEHÄLTER;A433500003;PTDN - PZ CELLBANKING;615.00;0.00;615.00;1;open;BOTA UMBAU HEBEHILFE;2025-12-01;EUR;615.00;EUR;capex;3;3.2;3.2.40-C;2025-12-01;R101431476;4511;;X20050900;PO1 FOR BOTA UMBAU HEBEHILFE;;6164P001610137000001C3204447352032401
P000955031;2024-10-08;10111454;DOBLER GMBH & CO KG;SPIELMH1;SVANET;;C.32.04447.352.0;;C.32.04447.352.022.101;BAUMEISTERARBEITEN/FUNDAMENTE;A433500003;PTDN - PZ CELLBANKING;6743.19;0.00;6743.19;1;open;BAUMEISTER;2024-11-01;EUR;6743.19;EUR;capex;2;2.2;2.2.10-C;2024-10-08;R100859304;4511;;X20050900;PO1 FOR BOTA BAUMEISTERARBEITEN;;6164P000955031000001C3204447352022101
P001545935;2025-10-28;10384010;BSS BRANDSCHUTZ SICHELSTIEL GMBH;RUMMELM1;SPECKEA1;;C.32.05563.444.0;;C.32.05563.444.044.101;PROZESSAUTOMATION;3253100508;DOZCC MANAGEMENT;29368.00;0.00;29368.00;1;open;ERWEITERUNG SCHAUMLÖSCHANLAGE GEBÄUDE 444 ROCHE PENZBERG (P;2025-11-07;EUR;29368.00;EUR;capex;4;4.4;4.4.10-C;2025-10-28;R101370310;4510;;X20050900;PO1 FOR CMBTP_BESTELLUNG BSS;;6164P001545935000001C3205563444044101
P001412081;2025-07-28;10015326;IKA-WERKE GMBH & CO KG;RUMMELM1;SPECKEA1;;C.32.05563.444.0;;C.32.05563.444.031.191;EQUIPMENT PROZESS;3253100214;DOZ MANAGEMENT;5329.50;0.00;5329.50;5;open;"IKA®-TURBOTRON® TYP RKG-00-BO 025 KW ATEX --&GT; 5 STÜCK BI";2025-08-01;EUR;5329.50;EUR;capex;3;3.1;3.1.19-C;2025-07-28;;4510;;X15100101;PO1 FOR BESTELLUNG_IKA RÜHRER;;6164P001412081000005C3205563444031191
9110213421;2022-04-28;10110071;CAT GMBH;RIEGERC3;HANG6;;C.32.02314.672.0;;C.32.02314.672.062.191;EXTERN CM;3253100348;DOMMD LIQUID E2G EQ;3277.50;0.00;3277.50;7;open;6. NT ECFLP OBERBAULEITUNG;2025-02-28;EUR;3277.50;EUR;capex;6;6.2;6.2.19-C;2024-10-18;;4511;;X20250200;;;61649110213421000007C3202314672062191
P000184006;2023-02-13;10126687;HP DEUTSCHLAND GMBH;VESELIG;VESELIG;;C.32.02314.652.0;;C.32.02314.652.052.101;BAU INTERN;3253100348;DOMMD LIQUID E2G EQ;1136.94;0.00;1136.94;3;open;HP ELITEX2G8 I5-1145G7 13 16GB/256 PC;2023-02-27;EUR;1136.94;EUR;capex;5;5.2;5.2.10-C;2023-02-14;;4511;MA00798619;X40050102;PO1 FOR XX ELITE X2 /PZ;;6164P000184006000003C3202314652052101
9110225662;2022-11-10;10120767;BILFINGER LIFE SCIENCE GMBH;SONNTAC1;HANG6;1004207294;C.32.02314.672.0;;C.32.02314.672.039.201;TECHNISCHE GASE;3253100348;DOMMD LIQUID E2G EQ;68111.38;0.00;68111.38;1;open;ECFLP-REINMEDIENUMBAU;2023-02-28;EUR;68111.38;EUR;capex;3;3.9;3.9.20-C;2024-03-11;;4511;;X20150500;ECFLP-REINMEDIENUMBAU;;61649110225662000001C3202314672039201
9110212013;2022-04-11;10111617;DOBLER GMBH & CO KG;RIEGERC3;HANG6;1004045269;C.32.02314.672.0;;C.32.02314.672.028.991;SONSTIGES BAU (BODEN ETC.);3253100348;DOMMD LIQUID E2G EQ;3138.73;0.00;3138.73;1;open;ECFLP-HOHLKEHLE;2022-05-02;EUR;3138.73;EUR;capex;2;2.8;2.8.99-C;2022-08-09;;4511;;X20050200;ECFLP-HOHLKEHLE;;61649110212013000001C3202314672028991
9110171340;2020-11-25;10111827;ACTEMIUM CONTROLMATIC GMBH;HILLMANB;EICHNERJ;;C.32.02928.353.0;;C.32.02928.353.062.121;EXTERN MSR;3253100511;DOZCC MACHINE;22446.00;0.00;22446.00;3;open;2.NT ECPGP TPK CC PHASE;2022-11-30;EUR;22446.00;EUR;capex;6;6.2;6.2.12-C;2023-08-25;;4511;;X20150401;ECPGP TPK PA/EMSR EX-LABOR;;61649110171340000003C3202928353062121
9110179239;2021-03-11;10114307;NTT GERMANY AG + CO KG;LEIKAMF;LEIKAMF;1003689161;C.32.01287.900.0;;C.32.01287.900.044.181;IT-INFRA (PROZESSAUTOMATISIERUNG);3251400008;KLAERANLAGE (I.N.)  +302+303;3796.43;0.00;3796.43;1;open;C9300L-48P-4X-E;2021-04-15;EUR;4528.00;USD;capex;4;4.4;4.4.18-C;2021-03-11;;4511;;X40200101;LEIKAMF 09.03.2021 12:00:24;;61649110179239000001C3201287900044181
9110177826;2021-02-24;10112405;ENDRESS + HAUSER DEUTSCHLAND;HELLERR3;EICHNERJ;;C.32.01287.900.0;;C.32.01287.900.044.161;PLS EQUIPMENT;3251400008;KLAERANLAGE (I.N.)  +302+303;28678.13;0.00;28678.13;12;open;10.NT WTRP MEHRUNG-MINDERUNGEN MUM-LISTE;2024-06-30;EUR;28678.13;EUR;capex;4;4.4;4.4.16-C;2024-05-21;;4511;;X20050403;WTRP GESAMTPAKET PROZESSAUTOMATISIERUNG;;61649110177826000012C3201287900044161
9110178100;2021-03-01;10117718;ING-BUERO HG + P GBR;HILLMANB;EICHNERJ;;C.32.01287.900.0;;C.32.01287.900.071.101;BEWILLIGUNGEN / GEBÜHREN;3251400008;KLAERANLAGE (I.N.)  +302+303;3005.04;0.00;3005.04;3;open;2.NT WTRP PRÜFSTATIK/ PB I + II;2022-12-30;EUR;3005.04;EUR;capex;7;7.1;7.1.10-C;2023-08-25;;4511;;X20250200;WTRP PRÜFSTATIK/ PB I + II;;61649110178100000003C3201287900071101
9110206208;2022-02-04;10110573;BECHTLE GMBH & CO KG;HELLERR3;EICHNERJ;1003984336;C.32.01287.900.0;;C.32.01287.900.044.111;FELDINSTRUMENTE;3251400008;KLAERANLAGE (I.N.)  +302+303;699.72;0.00;699.72;3;closed;IGEL WORKSPACE EDT;;EUR;699.72;EUR;capex;4;4.4;4.4.11-C;2022-02-04;;4511;;X40050203;WTRP IGEL HARDWARE;;61649110206208000003C3201287900044111
9110178100;2021-03-01;10117718;ING-BUERO HG + P GBR;OETTLA1;EICHNERJ;1003674777;C.32.01287.900.0;;C.32.01287.900.071.101;BEWILLIGUNGEN / GEBÜHREN;3251400008;KLAERANLAGE (I.N.)  +302+303;23293.60;0.00;23293.60;1;open;WTRP PRÜFSTATIK/ PB I + II;2022-12-30;EUR;23293.60;EUR;capex;7;7.1;7.1.10-C;2021-04-12;;4511;;X20250200;WTRP PRÜFSTATIK/ PB I + II;;61649110178100000001C3201287900071101
P001100657;2025-01-13;10251315;SIMPSON GUMPERTZ + HEGER INC;FISHEJ16;FISHEJ16;;C.35.00728.001.2;;C.35.00728.001.246.100;A/E SERVICES;3551605206;PL FACILITIES;79595.00;0.00;79595.00;1;open;BASIC DESIGN (BD) PHASES B728 AND WAREHOUSE PLEASANTON CAM;2026-01-12;USD;79595.00;USD;capex;0;0.0;0.0.00-C;2025-05-16;R100994732;4403;MA00216301;X20250300;SS728N DESIGN SERVICES BD PHASE;;2291P001100657000001C3500728001246100
2111295662;2023-05-30;10021350;DES ARCHITECTS + ENGINEERS INC;FISHEJ16;FISHEJ16;1004342148;C.35.05214.001.2;;C.35.05214.001.226.100;ASCU A/E SERVICES;3551605214;SC FACILITIES;0.00;0.00;0.00;1;closed;ASCU DES SOW2;2023-05-30;USD;0.00;USD;capex;0;0.0;0.0.00-C;2023-07-25;;4401;;X20250302;FISHEJ16 26.05.2023 19:45:31;;22912111295662000001C3505214001226100
P001117128;2025-01-22;10129657;VWR INTERNATIONAL LLC;JOHNSS87;JOHNSS87;;C.35.00107.205.2;;C.35.00107.205.236.500;PGMFB CC+Q - EXTERNAL;3551324561;OPERATIONS QUALITY CONTROL-FUNCTIONAL;437.97;0.00;437.97;2;closed;TWD SCIENTIFIC DISPOSABLE FORCEPS STERILE NON-STERILE END;2025-01-22;USD;437.97;USD;capex;6;6.5;6.5.00-C;2025-02-23;R101010640;4401;;X15150104;PO1 FOR EM/ REF;;2291P001117128000002C3500107205236500
P001351649;2025-06-12;10102849;SIGMA ALDRICH INC;JOHNSS87;JOHNSS87;;C.35.00107.205.2;;C.35.00107.205.236.500;PGMFB CC+Q - EXTERNAL;3551324561;OPERATIONS QUALITY CONTROL-FUNCTIONAL;3998.40;0.00;3998.40;1;open;MFX OASIS FUNNEL MCE BLACK 0.45ΜM 100MLMFX OASIS FUNNEL MC;2025-06-11;USD;3998.40;USD;capex;6;6.5;6.5.00-C;2025-06-12;R101200651;4401;;X15050101;PO2 FOR EM / DISINFECTANT QUALIFICATION;;2291P001351649000001C3500107205236500
P000719968;2024-04-22;10176453;MACE NORTH AMERICA LTD;KELLYS1;KELLYS1;;C.35.00105.205.2;;C.35.00105.205.235.310;FMFB PROJECT MANAGEMENT AND CONTROLS - S;3551605205;OVERHEAD BUILDING;5927.72;0.00;5927.72;1;closed;FMFB - P6 ENTERPRISE CLOUD SERVER 6 MONTH PILOT - QUOTE DIVI;2024-12-31;USD;5927.72;USD;capex;5;5.3;5.3.10-C;2025-08-04;R100639379;4401;;X20250000;PO1 FOR MACE - FMFB P6 ENTERPRISE CLOUD SERVER 6 MO PILOT;;2291P000719968000001C3500105205235310
P000912320;2024-09-06;10421150;PENNONI ASSOC INC;MORUSCD1;CARREOS1;;C.35.00106.205.2;;C.35.00106.205.236.800;MISC. CONSULTANT - EXTERNAL;3551605205;OVERHEAD BUILDING;25195.00;0.00;25195.00;1;closed;SPSB 3D MODEL CREATION FLY OVER ANIMATION APPLICATION FEE;2024-12-31;USD;25195.00;USD;capex;6;6.8;6.8.00-C;2025-09-10;R100817245;4401;;X20250000;PO1 FOR SPSB - PENNONI ASSOCIATES INC.;;2291P000912320000001C3500106205236800
P001633566;2025-12-12;10017598;FISHER SCIENTIFIC CO LLC;KAPPV1;KAPPV1;;C.35.04001.910.2;;C.35.04001.910.238.100;CAPITAL USER TEAM COSTS;3553205910;GENMARK PROJECT COSTS;113.94;0.00;113.94;1;closed;QUANTITY 1: CATALOG NUMBER : 0974479 CYTIVA WHATMAN™ HEPA-VE;;USD;113.94;USD;capex;8;8.1;8.1.00-C;2025-12-12;R101453704;4401;;X15100101;PO1 FOR BIODOT OPEX ITEMS - FISHER SCIENTIFIC;;2291P001633566000001C3504001910238100
P001513308;2025-10-04;10130000;FISHER SCIENTIFIC CO LLC;SIDDIQA1;SIDDIQA1;;C.35.04001.910.2;;C.35.04001.910.238.100;CAPITAL USER TEAM COSTS;3553205910;GENMARK PROJECT COSTS;93.10;0.00;93.10;22;open;BTL PL SPRAY IPA7016 GHS PK5;2025-10-04;USD;93.10;USD;capex;8;8.1;8.1.00-C;2025-10-04;R101347455;4401;;X15100101;PO1 FOR EPLEX VMI;;2291P001513308000022C3504001910238100
P001530249;2025-10-16;10130000;FISHER SCIENTIFIC CO LLC;KAPPV1;KAPPV1;;C.35.04001.910.2;;C.35.04001.910.238.100;CAPITAL USER TEAM COSTS;3553205910;GENMARK PROJECT COSTS;113.94;0.00;113.94;5;open;QTY 1: CATALOG NUMBER : 0974479 CYTIVA WHATMAN™ HEPA-VENT FI;2025-10-31;USD;113.94;USD;capex;8;8.1;8.1.00-C;2025-10-16;;4401;;X15100101;PO1 FOR BIODOT OPEX ITEMS - FISHER SCIENTIFIC;;2291P001530249000005C3504001910238100
P001530215;2025-10-16;10206987;W W GRAINGER INC;KAPPV1;KAPPV1;;C.35.04001.910.2;;C.35.04001.910.238.100;CAPITAL USER TEAM COSTS;3553205910;GENMARK PROJECT COSTS;110.55;0.00;110.55;2;closed;QUANTITY 3:  46C915 TUBING CUTTER3 IN. LSTRAIGHT CUT;2025-10-31;USD;110.55;USD;capex;8;8.1;8.1.00-C;2025-11-19;R101363017;4401;;X15100101;PO1 FOR BIODOT OPEX ITEMS - GRAINGER;;2291P001530215000002C3504001910238100
P001043024;2024-11-28;10111342;CYPERFECTION GMBH;GILJOHAS;DICKERTA;;C.32.03665.100.1;;C.32.03665.100.173.161;PROJEKTVERANSTALTUNGEN;3253100214;DOZ MANAGEMENT;12500.00;0.00;12500.00;1;closed;ASSET ERSTELLUNG;2024-11-30;EUR;12500.00;EUR;capex;7;7.3;7.3.16-C;2025-01-03;R100938827;4511;;X50250600;PO1 FOR CYPERFECTION-ERWEITERUNGSANGEBOT;;6164P001043024000001C3203665100173161
9110185185;2021-05-26;10111310;SIEMENS AG;HILLMANB;EICHNERJ;;C.32.02928.353.0;;C.32.02928.353.044.131;AUTOMATISATIONSINSTALLATION;3253100511;DOZCC MACHINE;46527.77;0.00;46527.77;5;open;4.NT ECPGP LABORAUTOMATISIERUNG;2023-08-29;EUR;46527.77;EUR;capex;4;4.4;4.4.13-C;2023-08-25;;4511;;X20150401;ECPGP LABORAUTOMATISIERUNG;;61649110185185000005C3202928353044131
P000977611;2024-10-22;10123842;IGX GLOBAL UK LTD;ERLH1;ERLH1;;C.32.03665.300.1;;C.32.03665.300.162.121;C-PROCESS AUTOMATION EXTERNAL;3253100214;DOZ MANAGEMENT;7096.81;0.00;7096.81;2;open;DCS-7010TX-48-R;2024-12-13;EUR;7675.20;USD;capex;6;6.2;6.2.12-C;2024-10-23;R100879976;4511;;X40200101;PO1 FOR DIA BPV2 SERVER ACCESS SWITCHES;;6164P000977611000002C3203665300162121
9110216763;2022-06-09;10113852;GHB CONSULT GMBH;AMETSBEB;HILLMANB;1004094440;C.32.03665.200.1;;C.32.03665.200.162.101;S- CIVIL EXTERNAL;3253100214;DOZ MANAGEMENT;25877.00;0.00;25877.00;1;open;BCMP-BAUGRUNDUNTERSUCHUNG GRID 53;2022-08-31;EUR;25877.00;EUR;capex;6;6.2;6.2.10-C;2023-03-02;;4511;;X20050100;BCMP-BAUGRUNDUNTERSUCHUNG GRID 53;;61649110216763000001C3203665200162101
9110177473;2021-02-22;10111263;MW BUEROPLANUNG GMBH;IANCUM1;IANCUM1;1003670776;C.32.03032.322.0;;C.32.03032.322.029.201;MOBILIAR 250€ - 1000€;3251601683;PROJEKTE CPS;509.88;0.00;509.88;38;open;GLAS WHITEBOARD;2021-04-12;EUR;509.88;EUR;capex;2;2.9;2.9.20-C;2021-03-02;;4511;;X25050201;MW 71802;;61649110177473000038C3203032322029201
P001265988;2025-04-10;10113675;THOMAS PRENNTZELL SACHV. FUER;BERGHAMB;ANNENKA1;;C.32.05144.352.0;;C.32.05144.352.062.151;EXTERN PROJEKT SGU;A433500004;PTDN - PZ MNGMT & SUPPORT;2250.00;0.00;2250.00;1;open;RCF1 | BRANDSCHUTZTECHNISCHER NACHWEIS I;2025-09-25;EUR;2250.00;EUR;capex;6;6.2;6.2.15-C;2025-04-10;R101122437;4511;;X20000000;PO1 FOR RCF1 | BRANDSCHUTZTECHNISCHER NACHWEIS I;;6164P001265988000001C3205144352062151
P001530167;2025-10-16;10102113;DIGI KEY CORP;KAPPV1;KAPPV1;;C.35.04001.910.2;;C.35.04001.910.238.100;CAPITAL USER TEAM COSTS;3553205910;GENMARK PROJECT COSTS;613.11;0.00;613.11;2;open;QUANTITY 3: PART: 4177-RTD20Z-ND ROTARY SLIP AND ADJUSTABLE;2025-10-31;USD;613.11;USD;capex;8;8.1;8.1.00-C;2025-10-16;R101362971;4401;;X20000000;PO1 FOR BIODOT OPEX ITEMS FROM DIGIKEY;;2291P001530167000002C3504001910238100
2111253563;2022-11-14;10491336;CARL WALKER CONSTRUCTION INC;MORUSCD1;KELLYS1;1004211116;C.35.00101.205.2;;C.35.00101.205.211.600;FMGB SITE IMPROVEMENTS;3551605205;OVERHEAD BUILDING;0.00;0.00;0.00;3;closed;FMGB CONSTRUCTION SITE IMPROVEMENTS;2023-11-10;USD;0.00;USD;capex;1;1.6;1.6.00-C;2023-07-25;;4401;;X20250200;MORUSCD1 11/10/2022 10:36:28;;22912111253563000003C3500101205211600
2111257502;2022-11-29;10125022;DPR CONSTRUCTION;MORUSCD1;MALIKK4;;C.35.00102.205.2;;C.35.00102.205.212.700;FMPB TRANSPORT SYSTEMS EQUIPMENT MATE;3551605205;OVERHEAD BUILDING;0.00;0.00;0.00;22;closed;FMPB TRANSPORT SYSTEMS EQUIPMENT MAT;2023-12-31;USD;0.00;USD;capex;2;2.7;2.7.00-C;2023-07-25;;4401;;X20250302;MORUSCD1 29.11.2022 10:00:48;;22912111257502000022C3500102205212700
2111145338;2021-11-19;10405604;BLUE HORSESHOE SOLUTIONS INC;FARRIST;KELLYS1;1003916969;C.35.00102.205.2;;C.35.00102.205.216.201;FMPB ENGINEERING;3551605205;OVERHEAD BUILDING;14000.00;0.00;14000.00;1;closed;FMPB 3D MDLNG OF NEW WSE/MANUF T. FARRIS;2021-12-29;USD;14000.00;USD;capex;6;6.2;6.2.01-C;2022-04-08;;4401;;X20250302;FARRIST 11/18/2021 15:37:31;;22912111145338000001C3500102205216201
2111179799;2022-03-04;10125022;DPR CONSTRUCTION;MALIKK4;MORUSCD1;1004010896;C.35.00102.205.2;;C.35.00102.205.216.300;FMPB CM/GC PRECONSTRUCTION SUPPORT;3551605205;OVERHEAD BUILDING;59180.00;0.00;59180.00;2;open;FMPB PRECONSTRUCTION SERVICES;2022-12-27;USD;59180.00;USD;capex;6;6.3;6.3.00-C;2022-03-04;;4401;;X20250200;MALIKK4 03.03.2022 16:21:24;;22912111179799000002C3500102205216300
P000341546;2023-07-22;10501169;MARK STELLWAGEN;KELLYS1;CHAVESC;;C.35.00102.205.2;;C.35.00102.205.216.201;FMPB ENGINEERING;3551605205;OVERHEAD BUILDING;11171.00;0.00;11171.00;1;closed;FMPB BUILDING ENVELOPE PROFESSIONAL SERV;2050-12-30;USD;11171.00;USD;capex;6;6.2;6.2.01-C;2025-10-28;;4401;;X20250300;2111236155;;2291P000341546000001C3500102205216201
2111091032;2021-06-14;10176453;MACE NORTH AMERICA LTD;FARRIST;KELLYS1;;C.35.00103.205.2;;C.35.00103.205.215.310;FMWB PROJECT MANAGEMENT - STAFF AUGMENT;3551605205;OVERHEAD BUILDING;11867.00;0.00;11867.00;2;closed;FMWB - CO1 INDEPENDENT ESTIMATE;2021-12-29;USD;11867.00;USD;capex;5;5.3;5.3.10-C;2023-11-03;;4401;;X35050500;BEJKOVSS 06/11/2021 09:02:53;;22912111091032000002C3500103205215310
P000341560;2023-07-22;10125022;DPR CONSTRUCTION;MORUSCD1;CHAVESC;;C.35.00104.205.2;;C.35.00104.205.212.600;FMUB PLUMBING SANITARY INST & FIRE PROT;3551605205;OVERHEAD BUILDING;2182046.73;0.00;2182046.73;2;open;FMUB PLUMBING SANITARY INST & FIRE PROT;2050-12-30;USD;2182046.73;USD;capex;2;2.6;2.6.00-C;2025-09-29;;4401;;X20000000;2111245663;;2291P000341560000002C3500104205212600
P000341560;2023-07-22;10125022;DPR CONSTRUCTION;MORUSCD1;CHAVESC;;C.35.00104.205.2;;C.35.00104.205.216.400;FMUB CM/GC CONSTRUCTION MANAGEMENT;3551605205;OVERHEAD BUILDING;932030.61;0.00;932030.61;18;open;CONTRACTOR CM (GENERAL REQUIREMENTS);2050-12-30;USD;932030.61;USD;capex;6;6.4;6.4.00-C;2025-09-29;;4401;;X20000000;2111245663;;2291P000341560000018C3500104205216400
2111236473;2022-08-30;10176453;MACE NORTH AMERICA LTD;MALIKK4;MALIKK4;1004158807;C.35.00104.205.2;;C.35.00104.205.215.310;FMUB PROJECT MANAGEMENT - STAFF AUGMENTA;3551605205;OVERHEAD BUILDING;38640.00;0.00;38640.00;1;open;FMUB PROCUREMENT SERVICES;2022-12-22;USD;38640.00;USD;capex;5;5.3;5.3.10-C;2022-08-30;;4401;;X20250301;MALIKK4 29.08.2022 22:50:11;;22912111236473000001C3500104205215310
2111179887;2022-03-04;10125022;DPR CONSTRUCTION;MALIKK4;MALIKK4;;C.35.00104.205.2;;C.35.00104.205.216.201;FMUB ENGINEERING;3551605205;OVERHEAD BUILDING;8000.00;0.00;8000.00;6;closed;FMUB DESIGN PRECON ADDITIONAL SCOPE;2023-12-31;USD;8000.00;USD;capex;6;6.2;6.2.01-C;2023-07-25;;4401;;X20250302;MALIKK4 03.03.2022 14:48:56;;22912111179887000006C3500104205216201
2111236474;2022-08-30;10176453;MACE NORTH AMERICA LTD;MALIKK4;MALIKK4;1004158837;C.35.00104.205.2;;C.35.00104.205.215.310;FMUB PROJECT MANAGEMENT - STAFF AUGMENTA;3551605205;OVERHEAD BUILDING;74605.00;0.00;74605.00;1;open;FMUB PROJECT CONTROLS SERVICES;2022-12-29;USD;74605.00;USD;capex;5;5.3;5.3.10-C;2022-08-30;;4401;;X20250301;MALIKK4 29.08.2022 23:25:13;;22912111236474000001C3500104205215310
P000716071;2024-04-19;10129657;VWR INTERNATIONAL LLC;FISHEJ16;FISHEJ16;;C.35.05214.001.2;;C.35.05214.001.223.200;ASCU STANDARD PROCESS EQUIPMENT;3551605214;SC FACILITIES;1003.24;0.00;1003.24;3;closed;THERMOTOP PRODUCT LINK : HTTPS://US.VWR.COM/STORE/CATALOG/PR;2024-05-06;USD;1003.24;USD;capex;3;3.2;3.2.00-C;2024-12-19;;4403;MA00587059;X15100101;PO1 FOR ASCU THERMOMIXER & ACCESSORIES AND FREEZERS;;2291P000716071000003C3505214001223200
1600008967;2023-12-28;10416950;MEDICATION TECHNOLOGY LTD;ZHENGH23;ZHENGH23;;C.68.40002.100.1;;C.68.40002.100.152.111;PROCESS INTERNAL;6856100190;CIRE APAC;1147034.04;0.00;1147034.04;30;open;THEO'S SERVICE AMEFS 2024.07.01-11.16;2024-11-30;CNY;144400.00;EUR;capex;5;5.2;5.2.11-C;2024-07-19;;4888;;X20250200;;;62371600008967000030C6840002100152111
P001209816;2025-03-11;10194402;FESCO ADECCO HUMAN RESOURCES;LIK17;XIAOJ26;;C.68.40002.100.1;;C.68.40002.100.152.101;CSA INTERNAL;6856100190;CIRE APAC;1379284.80;0.00;1379284.80;5;open;AMEFS-JEFFSON ZHAO‘S SERVICE 20250301-20251231;2025-03-10;CNY;1379284.80;CNY;capex;5;5.2;5.2.10-C;2026-01-14;R101067794;4888;;X20000000;PO1 FOR AMEFS-FESCO'S 8 CONSULTANTS' SERVICE FOR Y2025;;6237P001209816000005C6840002100152101
P001414688;2025-07-29;10377932;GENSLER ARCHITECTURE DESIGN FIRM;LIK17;CAOR17;;C.68.40002.100.1;;C.68.40002.100.162.101;CSA EXTERNAL;6856100190;CIRE APAC;572616.24;0.00;572616.24;1;open;AMEFS - RDSZ SC1037 ADMIN LEVEL 5 CD+;2025-06-30;CNY;572616.24;CNY;capex;6;6.2;6.2.10-C;2025-12-31;R101257439;4888;2025096295;X20250300;PO1 FOR AMEFS - RDSZ SC1037 ADMIN LEVEL 5 CD+;;6237P001414688000001C6840002100162101
